Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Business,Sci/Tech,u bell do video on path blazed by small telco,US Bells Do Video on Path Blazed by Small Telcos The three largest US local telephone corporations made a splash this summer with plans to sell video services on their voice and data lines in a few years
Business,Sci/Tech,intel to delay product aimed for high-definition tv san francisco,"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp"
Business,World,labor situation deserves honest talk for a moment last week,"Labor situation deserves honest talk For a moment last week, President Bush escaped the White House spin chamber and was the plainspoken man much of the nation came to like four years ago"
Sci/Tech,Sports,ibm put grid to work at u.s open ibm will,IBM puts grids to work at U
Business,Sci/Tech,discovery channel test power of licensing by rushing more than,"Discovery Channel Tests Power of Licensing By rushing more than 700 products under the American Chopper brand as part of a new in-house licensing program, the cable channel is relying more heavily on licensing to market shows"
World,Business,september retail sale up by 1.5 percent washington shopper got,September Retail Sales Up by 1
Sci/Tech,Sports,atlantis evidence found in spain ireland in 360 b.c the,"Atlantis ""Evidence"" Found in Spain, Ireland In 360 B"
Sports,Business,tyncastle sale get official go ahead of the vote received,"Tyncastle sale gets official go ahead Of the votes received by proxy and from shareholders in the room at a stormy extraordinary general meeting last night, 62"
Business,Sci/Tech,ibm lg electronics to end joint venture international business machine,"IBM, LG Electronics to End Joint Venture International Business Machines Corp"
Business,Sci/Tech,new pension would help million britain s pension system could,"New pension 'would help millions' Britain's pension system could easily be replaced by a new payment that would make millions better off, a report says"
World,Sports,bangladesh bos slam detractor bangladesh s coach say they still,"Bangladesh boss slams detractors Bangladesh's coach says they still deserve Test status after their 30th defeat, to India"
Sci/Tech,Business,google stock slip a new share hit market google inc,Google Stock Slips as New Shares Hit Market Google Inc
Sci/Tech,Business,supreme court hears wine sale case winemaker who want to,"Supreme Court Hears Wine Sales Case Winemakers who want to ship directly to consumers across state lines got a sympathetic hearing at the Supreme Court today, as the justices heard oral arguments in a case that could have a dramatic effect on Internet commerce and states' power to regulate the alcohol trade"
Sci/Tech,Business,a 39 plan b 39 for peoplesoft customer com september,"A  #39;Plan B #39; for PeopleSoft customers com September 20, 2004, 6:13 PM PT"
World,Sports,football spanish fa apologises the spanish fa apologises to it,Football: Spanish FA apologises The Spanish FA apologises to its English counterparts following racist chanting
Business,World,cocoa farmer issue strike threat union are threatening a general,Cocoa farmers issue strike threat Unions are threatening a general strike in the Ivory Coast in a protest against the prices farmers are paid for their cocoa supplies
Sci/Tech,Sports,the bahamas the real medal winner of the athens olympics,The Bahamas - the real medal winner of the Athens Olympics A different way of calculating the medal standings brings some interesting results
Business,Sci/Tech,vodafone target japan with 3g offensive vodafone ha unveiled plan,Vodafone targets Japan with 3G offensive Vodafone has unveiled plans for 10 new third-generation handsets for Christmas to help shore up its struggling Japanese unit
World,Sports,term of endearment seems that the bush administration unlike previous,"Terms of Endearment   Seems that the Bush administration, unlike previous White Houses, is not necessarily averse to allowing its ambassadors to have second tours"
Business,Sci/Tech,aol s viral marketing america online will now provide gratis,AOL's Viral Marketing America Online will now provide gratis antivirus protection to its subscribers
World,Sports,u edge out brazil for gold the united state beat,US edge out Brazil for gold The United States beat Brazil 2-1 in extra time to win the women's Olympic football tournament
Business,Sci/Tech,bae included in sfo investigation bae system say it ha,BAE included in SFO investigation BAE Systems says it has found out that it is being investigated by the UK's Serious Fraud Office
Sci/Tech,Sports,ibm put grid to work at u.s open ibm will,IBM puts grids to work at U
Sci/Tech,World,postal service to use motorola device ap ap motorola israel,Postal Service to Use Motorola Devices (AP) AP - Motorola Israel Ltd
Sci/Tech,World,slowing population lack fund rich country are giving only half,"Slowing population 'lacks funds' Rich countries are giving only half the amount they promised to help to slow world population growth, the UN says"
Business,Sci/Tech,rumour surround google browser the search giant google is rumoured,Rumours surround Google browser The search giant Google is rumoured to be working on its own web browser
Business,Sci/Tech,local group join suit to de-list endangered specie bob briggs,"Local group joins suit to de-list endangered species Bob Briggs wifes family has owned about 1,000 acres of redwood forest off Waddell Creek since 1913"
Sci/Tech,Business,opm delving deeper into employee 39 background which set hiring,OPM Delving Deeper Into Employees #39; Backgrounds which sets hiring and employment standards for the government -- is reviewing its employees to ensure that they are suitable for jobs involving the  quot;public trust
Sci/Tech,Business,flying taxi quot within five year quot british company avcen,"Flying taxis -  quot;within five years quot; British company Avcen, designers of  quot;Jetpod quot; taxi, believe they can offer a flying taxi service within 5 years"
Sports,Sci/Tech,raven star jamal lewis pleads guilty to drug charge reuters,"Ravens Star Jamal Lewis Pleads Guilty to Drug Charge (Reuters) Reuters - Baltimore Ravens football star Jamal\Lewis pleaded guilty on Thursday to using a cell phone to try\to broker a cocaine deal, avoiding more serious federal drug\charges that could have sent him to prison for life"
World,Sci/Tech,week s delay for delta launcher boeing s new heavy-lift,Week's delay for Delta launcher Boeing's new heavy-lift Delta 4 rocket must wait a further week before making its maiden flight
Sci/Tech,Business,our mobile margin will fall telstra telstra chief financial officer,Our mobile margins will fall: Telstra TELSTRA chief financial officer John Stanhope has admitted Telstra #39;s margins in its \$4
Sports,World,driver set for mad dash at richmond the grip on,"Drivers set for mad dash at Richmond The grip on the steering wheel will be a little tighter, aggressions will run a little higher and emotions will be flowing stronger than ever"
World,Business,deal in congress to keep tax cut widening deficit republican,"Deal in Congress to Keep Tax Cuts, Widening Deficit Republican and Democratic leaders agreed to extend \$150 billion worth of tax cuts sought by President Bush without trying to pay for them"
Sci/Tech,World,man arrested for fatally stabbing elderly parent saitama a middle-aged,"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said"
World,Sci/Tech,in china s changing society psychotherapy gain acceptance beijing step,"In China's changing society, psychotherapy gains acceptance BEIJING -- Step back, Confucius"
Business,World,bush pledge strong-dollar policy president bush meet with italian prime,"Bush Pledges Strong-Dollar Policy President Bush meets with Italian Prime Minister Silvio Berlusconi in the Oval Office of the White House, Wednesday, Dec"
Business,World,transport strike hit netherlands public transport grind to a halt,Transport strike hits Netherlands Public transport grinds to a halt in the Netherlands as workers strike against the government's planned welfare cuts
Sci/Tech,Business,amazon.com net sale jump 29 google report 52m in net,Amazon
Business,Sci/Tech,aol file lawsuit against im 39 spim 39 america online,AOL Files Lawsuit Against IM  #39;Spim #39; America Online Inc
World,Business,plant a tree at easter urge nobel laureate world to,Plant a tree at Easter urges Nobel laureate world to plant trees at Easter as a symbol of renewal and to protect the planet
Sci/Tech,Business,health care technology is a promise unfinanced while the bush,"Health Care Technology Is a Promise Unfinanced While the Bush administration's words of support for a high-technology future for health care have been plentiful, the dollars, it seems, are scarce"
World,Business,asia to outperform this year lower growth seen in 2005,"Asia to outperform this year, lower growth seen in 2005: ADB (AFP) AFP - Developing Asia is set to outperform this year with higher-than-expected growth of 7"
World,Sci/Tech,mexico migrant smuggler turning to sea ap ap migrant smuggler,"Mexico Migrant Smugglers Turning to Sea (AP) AP - Migrant smugglers are skirting heightened security along the border by using small boats to shuttle people from the under-supervised Baja coast into Southern California marinas and harbors, already jammed with legal commercial ships and pleasure boat traffic"
Sci/Tech,World,hawk evicted from new york city perch ap ap pale,"Hawks Evicted From New York City Perch (AP) AP - Pale Male the city hawk was evicted from his nest, and the flap has already begun"
Business,Sci/Tech,infineon admits conspiracy in dram cartel giant memory company infineon,Infineon admits conspiracy in DRAM cartel GIANT MEMORY company Infineon will plead guilty to price fixing of DRAM chips and will pay \$160 million in fines to the US government
Business,Sci/Tech,branson virgin billionaire eye china telecom deal can you hear,Branson: Virgin Billionaire Eyes China Telecom Deal Can you hear him now: Virgin Group Chairman Richard Branson said in Hong Kong that his company has earmarked \$300 million for a cell phone joint venture in China
Sci/Tech,Business,travelocity say speed is the ticket for growth sam gilliand,"Travelocity Says Speed Is the Ticket For Growth Sam Gilliand, the chief executive of Travelocity, talks about the online travel industry, the Cendant-Orbitz merger and the woes of the airline industry"
World,Business,pricey drug trial turn up few new blockbuster the 500,"Pricey Drug Trials Turn Up Few New Blockbusters The \$500 billion drug industry is stumbling badly in its core business of finding new medicines, while aggressively marketing existing drugs"
Sci/Tech,Business,cendant near deal to buy orbitz for 36 1.2 bln-source,Cendant Near Deal to Buy Orbitz for  #36;1
Sci/Tech,Sports,nothing robotic about robo-art the artbots show in new york,"Nothing Robotic About Robo-Art The ArtBots show in New York this past weekend proved that robots can wax artistic, too -- or at least carry out the instructions of their artistic creators"
Sci/Tech,Business,it 39 s time for tech firm to bet on,It #39;s Time for Tech Firms to Bet on Growth Industry leaders have been offering too few innovations and too many marginal upgradesat not-so-marginal prices
