Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Sports,Sci/Tech,minuteman ko d by duke harrisonburg va opposing running back,"Minutemen KO'd by Dukes HARRISONBURG, Va"
World,Sci/Tech,scientist ramanna mourned bombay raja ramanna the scientist who pioneered,"Scientist Ramanna mourned BOMBAY: Raja Ramanna, the scientist who pioneered India #39;s drive to become a nuclear power, died yesterday in Bombay at age 79"
Business,Sci/Tech,nobel economics prize awarded norwegian-born finn kydland and edward prescott,"Nobel Economics Prize Awarded Norwegian-born Finn Kydland and Edward Prescott of the United States won the 2004 Nobel\economics prize, the Royal Swedish Academy of Sciences said on Monday"
Business,Sci/Tech,local group join suit to de-list endangered specie bob briggs,"Local group joins suit to de-list endangered species Bob Briggs wifes family has owned about 1,000 acres of redwood forest off Waddell Creek since 1913"
Business,Sports,bank seek court ruling over f1 three bank go to,Banks seek court ruling over F1 Three banks go to the High Court in London seeking a ruling which could lead to Bernie Ecclestone losing control of Formula One racing
Sci/Tech,Business,nortel to file restated result next year nortel network said,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year"
Sci/Tech,Sports,travel column australia through aboriginal eye this week s travelwatch,"Travel Column: Australia Through Aboriginal Eyes This week's TravelWatch column profiles Anangu Tours, an Aborigine-owned tour company in Australia's Red Center"
Sci/Tech,Business,august chip sale growth slows on high inventory san francisco,"August Chip Sales Growth Slows on High Inventory  SAN FRANCISCO (Reuters) - Global semiconductor sales growth  slowed to 1 percent in August as electronics makers reacted to  growing inventories in Asia by limiting orders of chips, an  industry trade group said on Thursday"
Sci/Tech,Business,dell cut price on many corporate product dell on monday,"Dell cuts prices on many corporate products Dell on Monday said it had cut prices by as much as fifth for a range of products aimed at US corporate customers, as the computer maker passed along savings from cheaper components"
World,Business,stock price climb ahead of google ipo new york investor,"Stock Prices Climb Ahead of Google IPO NEW YORK - Investors shrugged off rising crude futures Wednesday to capture well-priced shares, sending the Nasdaq composite index up 1"
World,Business,danish group 39 s gift criticized a danish group ha,Danish group #39;s gift criticized A Danish group has caused controversy in Colombia by publicly donating money to the country #39;s largest Marxist guerrilla organization
Sci/Tech,Business,source sprint nextel closing in on 36b deal sprint corp,"Sources: Sprint, Nextel closing in on \$36B deal Sprint Corp"
Sci/Tech,Business,a distraction a a deadline approach a the holiday approach,"A Distraction as a Deadline Approaches As the holidays approach, Christmas spirit is a bargain-hunting essential"
Business,Sports,bank seek court ruling over f1 three bank go to,Banks seek court ruling over F1 Three banks go to the High Court in London seeking a ruling which could lead to Bernie Ecclestone losing control of Formula One racing
Sports,Business,boston archbishop reveals anguish of closing boston boston 39 s,Boston archbishop reveals anguish of closings BOSTON Boston #39;s Archbishop is telling catholics that the church #39;s financial footing is  quot;much worse than people realize
World,Business,stock climb on strong economic data new york newly optimistic,"Stocks Climb on Strong Economic Data NEW YORK - Newly optimistic investors sent stocks sharply higher Friday, propelling the Dow Jones industrials up more than 100 points, after economic data showed strength in manufacturing and construction"
World,Sci/Tech,cellphone industry hit snag a it woos untapped market the,Cellphone Industry Hits Snag as It Woos Untapped Market The mobile phone industry is turning its attention to the last untapped demographic - people over 65
Business,Sci/Tech,google share released for sale employee and some investor in,"Google shares released for sale Employees and some investors in Google will be able to sell shares in the company as the latest ""lockup"" phase on sales ends"
