Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Sci/Tech,Business,update peoplesoft board wo n't negotiate oracle takeover peoplesoft executive said over the weekend that they wo n't discus a sale to oracle at a price of 24 per share but would consider an offer at a higher price,Update: PeopleSoft board won't negotiate Oracle takeover PeopleSoft executives said over the weekend that they won't discuss a sale to Oracle at a price of \$24 per share but would consider an offer at a higher price.
Business,World,stock dip on consumer income report news ap ap an unsettling report on consumer income set off a spate of profit-taking on wall street monday a investor worried that a tepid economy would erode company third-quarter earnings another drop in oil price failed to shake the gloom from the market,Stocks Dip on Consumer Income Report News (AP) AP - An unsettling report on consumer incomes set off a spate of profit-taking on Wall Street Monday as investors worried that a tepid economy would erode companies' third-quarter earnings. Another drop in oil prices failed to shake the gloom from the market.
World,Business,panel urge n.y to pay 14 billion more for city school court-appointed referee recommended the state pay an additional 14 billion over four year to improve new york city school,Panel Urges N.Y. to Pay \$14 Billion More for City Schools Court-appointed referees recommended the state pay an additional \$14 billion over four years to improve New York City schools.
Business,World,indian pm pledge to protect poor from oil-driven inflation new delhi indian prime minister manmohan singh pledged to try to shield the poor by keeping down price of essential good amid rising inflation,Indian PM pledges to protect poor from oil-driven inflation NEW DELHI : Indian Prime Minister Manmohan Singh pledged to try to shield the poor by keeping down prices of essential goods amid rising inflation.
Business,World,belarus bank denies money laundering charge a bank in belarus ha denied u charge that it laundered money for former iraqi leader saddam hussein infobank in a statement said it ha strictly followed international agreement related to the fight against illegal transaction,"Belarus Bank Denies Money Laundering Charge A bank in Belarus has denied US charges that it laundered money for former Iraqi leader Saddam Hussein. Infobank, in a statement, said it has strictly followed international agreements related to the fight against illegal transactions."
Sci/Tech,Sports,you have mail always with a blackberry washington lawyer william wilhelm know from experience that not everybody love his blackberry a much a he doe the girlfriend wa fed up with a relationship,"You have mail, always, with a BlackBerry Washington lawyer William Wilhelm knows from experience that not everybody loves his BlackBerry as much as he does. The girlfriend was fed up with a relationship "
World,Sports,england humble sprinboks charlie hodgson score 27 point a england overwhelm the springbok at twickenham,England humble Sprinboks Charlie Hodgson scores 27 points as England overwhelm the Springboks at Twickenham.
Business,Sci/Tech,b old new frontier northrop grumman corp and boeing co yesterday announced plan to team up to design a vehicle to take astronaut back to the moon and even beyond but they 39 ve got to make one stop first,"(B)old new frontiers Northrop Grumman Corp. and Boeing Co. yesterday announced plans to team up to design a vehicle to take astronauts back to the moon and even beyond, but they #39;ve got to make one stop first "
World,Sports,spanish teenager pleads guilty in first trial stemming from madrid madrid spain there 39 s been a guilty plea in the first trial stemming from the madrid train bombing earlier this year a 16-year-old ha pleaded guilty to charge he helped transport dynamite used in the attack,"Spanish teenager pleads guilty in first trial stemming from Madrid &lt;b&gt;...&lt;/b&gt; MADRID, Spain There #39;s been a guilty plea in the first trial stemming from the Madrid train bombings earlier this year. A 16-year-old has pleaded guilty to charges he helped transport dynamite used in the attack."
Business,World,allianz to fight u court ruling on wtc attack munich german insurance concern allianz said on tuesday it would fight a u jury decision in new york which doubled the amount of insurance which the leaseholder of the destroyed world trade center tower could collect from nine insurance firm,Allianz to fight US court ruling on WTC attacks MUNICH - German insurance concern Allianz said on Tuesday it would fight a US jury decision in New York which doubled the amount of insurance which the leaseholder of the destroyed World Trade Center towers could collect from nine insurance firms.
